classification,country,country_code,year,diet_type,cost
Food Prices for Nutrition 2.1,Kyrgyz Republic,KGZ,2017.0,Healthy,2.97
Food Prices for Nutrition 2.1,Lao PDR,LAO,2017.0,Healthy,3.776
Food Prices for Nutrition 2.1,Latin America & Caribbean,LCN,2017.0,Healthy,3.619
Food Prices for Nutrition 2.1,Latvia,LVA,2017.0,Healthy,3.124
Food Prices for Nutrition 2.1,Lesotho,LSO,2017.0,Healthy,3.77
Food Prices for Nutrition 2.1,Lithuania,LTU,2017.0,Healthy,3.003
Food Prices for Nutrition 2.1,Low income,LIC,2017.0,Healthy,3.084
Food Prices for Nutrition 2.1,Lower middle income,LMC,2017.0,Healthy,3.397
Food Prices for Nutrition 2.1,Luxembourg,LUX,2017.0,Healthy,2.492
Food Prices for Nutrition 2.1,Madagascar,MDG,2017.0,Healthy,2.987
Food Prices for Nutrition 2.1,Malaysia,MYS,2017.0,Healthy,3.224
Food Prices for Nutrition 2.1,Maldives,MDV,2017.0,Healthy,3.581
Food Prices for Nutrition 2.1,Malta,MLT,2017.0,Healthy,3.494
Food Prices for Nutrition 2.1,Mauritius,MUS,2017.0,Healthy,3.313
Food Prices for Nutrition 2.1,Mexico,MEX,2017.0,Healthy,2.993
Food Prices for Nutrition 2.1,Moldova,MDA,2017.0,Healthy,2.46
Food Prices for Nutrition 2.1,Montenegro,MNE,2017.0,Healthy,3.397
Food Prices for Nutrition 2.1,Montserrat,MSR,2017.0,Healthy,4.883
Food Prices for Nutrition 2.1,Morocco,MAR,2017.0,Healthy,2.71
Food Prices for Nutrition 2.1,Myanmar,MMR,2017.0,Healthy,3.706
Food Prices for Nutrition 2.1,Nepal,NPL,2017.0,Healthy,4.127
Food Prices for Nutrition 2.1,Netherlands,NLD,2017.0,Healthy,2.743
Food Prices for Nutrition 2.1,New Zealand,NZL,2017.0,Healthy,2.671
Food Prices for Nutrition 2.1,Nicaragua,NIC,2017.0,Healthy,3.191
Food Prices for Nutrition 2.1,North America,NAC,2017.0,Healthy,3.386
Food Prices for Nutrition 2.1,North Macedonia,MKD,2017.0,Healthy,3.318
Food Prices for Nutrition 2.1,Norway,NOR,2017.0,Healthy,3.325
Food Prices for Nutrition 2.1,Oman,OMN,2017.0,Healthy,2.815
Food Prices for Nutrition 2.1,Pakistan,PAK,2017.0,Healthy,3.408
Food Prices for Nutrition 2.1,Panama,PAN,2017.0,Healthy,4.225
Food Prices for Nutrition 2.1,Paraguay,PRY,2017.0,Healthy,3.43
Food Prices for Nutrition 2.1,Peru,PER,2017.0,Healthy,3.084
Food Prices for Nutrition 2.1,Philippines,PHL,2017.0,Healthy,3.843
Food Prices for Nutrition 2.1,Poland,POL,2017.0,Healthy,2.909
Food Prices for Nutrition 2.1,Portugal,PRT,2017.0,Healthy,2.513
Food Prices for Nutrition 2.1,Qatar,QAT,2017.0,Healthy,2.375
Food Prices for Nutrition 2.1,Romania,ROU,2017.0,Healthy,2.921
Food Prices for Nutrition 2.1,Russian Federation,RUS,2017.0,Healthy,3.149
Food Prices for Nutrition 2.1,Sao Tome and Principe,STP,2017.0,Healthy,3.288
Food Prices for Nutrition 2.1,Saudi Arabia,SAU,2017.0,Healthy,3.441
Food Prices for Nutrition 2.1,Serbia,SRB,2017.0,Healthy,4.07
Food Prices for Nutrition 2.1,Seychelles,SYC,2017.0,Healthy,4.01
Food Prices for Nutrition 2.1,Singapore,SGP,2017.0,Healthy,2.775
Food Prices for Nutrition 2.1,Sint Maarten (Dutch part),SXM,2017.0,Healthy,4.462
Food Prices for Nutrition 2.1,Slovak Republic,SVK,2017.0,Healthy,3.013
Food Prices for Nutrition 2.1,Slovenia,SVN,2017.0,Healthy,2.798
Food Prices for Nutrition 2.1,South Asia,SAS,2017.0,Healthy,3.558
Food Prices for Nutrition 2.1,Spain,ESP,2017.0,Healthy,2.699
Food Prices for Nutrition 2.1,St. Kitts and Nevis,KNA,2017.0,Healthy,2.998
Food Prices for Nutrition 2.1,St. Lucia,LCA,2017.0,Healthy,3.263
Food Prices for Nutrition 2.1,St. Vincent and the Grenadines,VCT,2017.0,Healthy,4.131
Food Prices for Nutrition 2.1,Suriname,SUR,2017.0,Healthy,4.969
Food Prices for Nutrition 2.1,Sweden,SWE,2017.0,Healthy,3.086
Food Prices for Nutrition 2.1,Switzerland,CHE,2017.0,Healthy,2.523
Food Prices for Nutrition 2.1,"Taiwan, China",TWN,2017.0,Healthy,3.99
Food Prices for Nutrition 2.1,Tajikistan,TJK,2017.0,Healthy,3.027
Food Prices for Nutrition 2.1,Thailand,THA,2017.0,Healthy,3.971
Food Prices for Nutrition 2.1,Trinidad and Tobago,TTO,2017.0,Healthy,3.928
Food Prices for Nutrition 2.1,Türkiye,TUR,2017.0,Healthy,2.873
Food Prices for Nutrition 2.1,Turks and Caicos Islands,TCA,2017.0,Healthy,2.809
Food Prices for Nutrition 2.1,United Arab Emirates,ARE,2017.0,Healthy,2.755
Food Prices for Nutrition 2.1,United Kingdom,GBR,2017.0,Healthy,1.822
Food Prices for Nutrition 2.1,United States,USA,2017.0,Healthy,3.225
Food Prices for Nutrition 2.1,Upper middle income,UMC,2017.0,Healthy,3.498
Food Prices for Nutrition 2.1,Uruguay,URY,2017.0,Healthy,3.073
Food Prices for Nutrition 2.1,Vietnam,VNM,2017.0,Healthy,3.586
Food Prices for Nutrition 2.1,West Bank and Gaza,PSE,2017.0,Healthy,3.342
Food Prices for Nutrition 2.1,WORLD,WLD,2017.0,Healthy,3.295
