classification,country,country_code,year,afford_energy,afford_nutrient,afford_healthy,pct_cannot_afford_energy,pct_cannot_afford_nutrient,pct_cannot_afford_healthy
Food Prices for Nutrition 2.1,Romania,ROU,2017.0,0.046,0.205,0.273,0.9,8.0,11.9
Food Prices for Nutrition 2.1,Russian Federation,RUS,2017.0,0.066,0.241,0.343,0.0,0.8,3.3
Food Prices for Nutrition 2.1,Sao Tome and Principe,STP,2017.0,0.191,0.548,0.702,8.0,63.4,76.6
Food Prices for Nutrition 2.1,Serbia,SRB,2017.0,0.09,0.398,0.608,3.2,14.3,27.2
Food Prices for Nutrition 2.1,Seychelles,SYC,2017.0,0.128,0.437,0.807,0.1,2.5,9.3
Food Prices for Nutrition 2.1,Slovak Republic,SVK,2017.0,0.052,0.285,0.434,0.1,1.4,2.1
Food Prices for Nutrition 2.1,Slovenia,SVN,2017.0,0.061,0.284,0.394,0.0,0.0,0.1
Food Prices for Nutrition 2.1,South Asia,SAS,2017.0,0.197,0.595,0.894,2.6,59.3,78.7
Food Prices for Nutrition 2.1,Spain,ESP,2017.0,0.06,0.241,0.371,0.5,1.0,1.7
Food Prices for Nutrition 2.1,St. Lucia,LCA,2017.0,0.591,1.492,1.836,4.6,16.7,20.9
Food Prices for Nutrition 2.1,Suriname,SUR,2017.0,0.139,0.412,0.604,15.8,34.2,44.5
Food Prices for Nutrition 2.1,Sweden,SWE,2017.0,0.108,0.329,0.417,0.2,0.4,0.6
Food Prices for Nutrition 2.1,Switzerland,CHE,2017.0,0.055,0.278,0.333,0.0,0.0,0.0
Food Prices for Nutrition 2.1,"Taiwan, China",TWN,2017.0,0.156,0.32,0.427,0.0,0.2,0.2
Food Prices for Nutrition 2.1,Tajikistan,TJK,2017.0,0.362,0.932,1.203,2.2,30.8,47.2
Food Prices for Nutrition 2.1,Thailand,THA,2017.0,0.173,0.476,0.656,0.0,7.0,20.5
Food Prices for Nutrition 2.1,Trinidad and Tobago,TTO,2017.0,0.129,0.4,0.501,0.2,3.4,6.5
Food Prices for Nutrition 2.1,Türkiye,TUR,2017.0,0.096,0.311,0.391,0.0,3.1,6.1
Food Prices for Nutrition 2.1,United Arab Emirates,ARE,2017.0,0.101,0.245,0.374,0.0,0.0,0.1
Food Prices for Nutrition 2.1,United Kingdom,GBR,2017.0,0.049,0.285,0.341,0.2,0.5,0.5
Food Prices for Nutrition 2.1,United States,USA,2017.0,0.129,0.316,0.46,1.2,1.5,2.0
Food Prices for Nutrition 2.1,Upper middle income,UMC,2017.0,0.166,0.481,0.625,1.2,11.2,17.3
Food Prices for Nutrition 2.1,Uruguay,URY,2017.0,0.094,0.288,0.416,0.0,0.8,2.8
Food Prices for Nutrition 2.1,Vietnam,VNM,2017.0,0.286,0.737,1.052,0.7,11.7,24.9
Food Prices for Nutrition 2.1,West Bank and Gaza,PSE,2017.0,0.284,0.445,0.845,0.6,2.4,18.0
Food Prices for Nutrition 2.1,WORLD,WLD,2017.0,0.212,0.591,0.808,4.9,32.0,43.7
